,Postcode,Borough,Neighbourhood
0, ,Canadian postal codes ,","
1,M1B ,Scarborough ,"Malvern, Rouge ,Malvern, Rouge"
2,M1C ,Scarborough ,"Rouge Hill, Port Union, Highland Creek ,Rouge Hill, Port Union, Highland Creek"
3,M1E ,Scarborough ,"Guildwood, Morningside, West Hill ,Guildwood, Morningside, West Hill"
4,M1G ,Scarborough ,"Woburn ,Woburn"
5,M1H ,Scarborough ,"Cedarbrae ,Cedarbrae"
6,M1J ,Scarborough ,"Scarborough Village ,Scarborough Village"
7,M1K ,Scarborough ,"Kennedy Park, Ionview, East Birchmount Park ,Kennedy Park, Ionview, East Birchmount Park"
8,M1L ,Scarborough ,"Golden Mile, Clairlea, Oakridge ,Golden Mile, Clairlea, Oakridge"
9,M1M ,Scarborough ,"Cliffside, Cliffcrest, Scarborough Village West ,Cliffside, Cliffcrest, Scarborough Village West"
10,M1N ,Scarborough ,"Birch Cliff, Cliffside West ,Birch Cliff, Cliffside West"
11,M1P ,Scarborough ,"Dorset Park, Wexford Heights, Scarborough Town Centre ,Dorset Park, Wexford Heights, Scarborough Town Centre"
12,M1R ,Scarborough ,"Wexford, Maryvale ,Wexford, Maryvale"
13,M1S ,Scarborough ,"Agincourt ,Agincourt"
14,M1T ,Scarborough ,"Clarks Corners, Tam O'Shanter, Sullivan ,Clarks Corners, Tam O'Shanter, Sullivan"
15,M1V ,Scarborough ,"Milliken, Agincourt North, Steeles East, L'Amoreaux East ,Milliken, Agincourt North, Steeles East, L'Amoreaux East"
16,M1W ,Scarborough ,"Steeles West, L'Amoreaux West ,Steeles West, L'Amoreaux West"
17,M1X ,Scarborough ,"Upper Rouge ,Upper Rouge"
18,M2H ,North York ,"Hillcrest Village ,Hillcrest Village"
19,M2J ,North York ,"Fairview, Henry Farm, Oriole ,Fairview, Henry Farm, Oriole"
20,M2K ,North York ,"Bayview Village ,Bayview Village"
21,M2L ,North York ,"York Mills, Silver Hills ,York Mills, Silver Hills"
22,M2M ,North York ,"Willowdale, Newtonbrook ,Willowdale, Newtonbrook"
23,M2N ,North York ,"Willowdale, Willowdale East ,Willowdale, Willowdale East"
24,M2P ,North York ,"York Mills West ,York Mills West"
25,M2R ,North York ,"Willowdale, Willowdale West ,Willowdale, Willowdale West"
26,M3A ,North York ,"Parkwoods ,Parkwoods"
27,M3B ,North York ,"Don Mills ,Don Mills"
28,M3C ,North York ,"Don Mills ,Don Mills"
29,M3H ,North York ,"Bathurst Manor, Wilson Heights, Downsview North ,Bathurst Manor, Wilson Heights, Downsview North"
30,M3J ,North York ,"Northwood Park, York University ,Northwood Park, York University"
31,M3K ,North York ,"Downsview ,Downsview"
32,M3L ,North York ,"Downsview ,Downsview"
33,M3M ,North York ,"Downsview ,Downsview"
34,M3N ,North York ,"Downsview ,Downsview"
35,M4A ,North York ,"Victoria Village ,Victoria Village"
36,M4B ,East York ,"Parkview Hill, Woodbine Gardens ,Parkview Hill, Woodbine Gardens"
37,M4C ,East York ,"Woodbine Heights ,Woodbine Heights"
38,M4E ,East Toronto ,"The Beaches ,The Beaches"
39,M4G ,East York ,"Leaside ,Leaside"
40,M4H ,East York ,"Thorncliffe Park ,Thorncliffe Park"
41,M4J ,East York ,"East Toronto, Broadview North (Old East York) ,East Toronto, Broadview North (Old East York)"
42,M4K ,East Toronto ,"The Danforth West, Riverdale ,The Danforth West, Riverdale"
43,M4L ,East Toronto ,"India Bazaar, The Beaches West ,India Bazaar, The Beaches West"
44,M4M ,East Toronto ,"Studio District ,Studio District"
45,M4N ,Central Toronto ,"Lawrence Park ,Lawrence Park"
46,M4P ,Central Toronto ,"Davisville North ,Davisville North"
47,M4R ,Central Toronto ,"North Toronto West,  Lawrence Park ,North Toronto West,  Lawrence Park"
48,M4S ,Central Toronto ,"Davisville ,Davisville"
49,M4T ,Central Toronto ,"Moore Park, Summerhill East ,Moore Park, Summerhill East"
50,M4V ,Central Toronto ,"Summerhill West, Rathnelly, South Hill, Forest Hill SE, Deer Park ,Summerhill West, Rathnelly, South Hill, Forest Hill SE, Deer Park"
51,M4W ,Downtown Toronto ,"Rosedale ,Rosedale"
52,M4X ,Downtown Toronto ,"St. James Town, Cabbagetown ,St. James Town, Cabbagetown"
53,M4Y ,Downtown Toronto ,"Church and Wellesley ,Church and Wellesley"
54,M5A ,Downtown Toronto ,"Regent Park, Harbourfront ,Regent Park, Harbourfront"
55,M5B ,Downtown Toronto ,"Garden District, Ryerson ,Garden District, Ryerson"
56,M5C ,Downtown Toronto ,"St. James Town ,St. James Town"
57,M5E ,Downtown Toronto ,"Berczy Park ,Berczy Park"
58,M5G ,Downtown Toronto ,"Central Bay Street ,Central Bay Street"
